SUB_DISTRICT,TYPE,STATE,CENSUS_CODE_2001,NAME,DISTRICT
Balasinor,Village,Gujarat,2416000301094800,Jetholi,Kheda
Daskroi,Village,Gujarat,2407000600523800,Bilasiya,Ahmadabad
Lunawada,Village,Gujarat,2417000401192900,Mota Dokva,Panch Mahals
Santrampur,Village,Gujarat,2417000301177400,Amba,Panch Mahals
Jhalod,Village,Gujarat,2418000201276200,Anika,Dohad
Daskroi,Village,Gujarat,2407000600523900,Pardhol,Ahmadabad
Bhuj,Village,Gujarat,2401000500049200,Chunadi,Kachchh
Daskroi,Village,Gujarat,2407000600523400,Bhadaj,Ahmadabad
Kapadvanj,Village,Gujarat,2416000101082500,Bhungaliya,Kheda
Kapadvanj,Village,Gujarat,2416000101082900,Dantali,Kheda
Kalol,Village,Gujarat,2406000100476800,Ranchhodpura,Gandhinagar
Abdasa,Village,Gujarat,2401000700078200,Naranpar,Kachchh
Maliya,Village,Gujarat,2409000100621100,Vardusar,Rajkot
Lunawada,Village,Gujarat,2417000401197000,Methajina Muvada,Panch Mahals
Santrampur,Village,Gujarat,2417000301176000,Jotangiya,Panch Mahals
Daskroi,Village,Gujarat,2407000600524000,Vahelal,Ahmadabad
Dhrangadhra,Village,Gujarat,2408000200562400,Virendragadh,Surendranagar
Jhalod,Village,Gujarat,2418000201276500,Sarori,Dohad
Abdasa,Village,Gujarat,2401000700076500,Arikhana,Kachchh
